path	magic	head16
/0_OP.BIN	D0036F03	D0036F03D001402B0009000906004018
/0_TPLAY.BIN	2FE62FD6	2FE62FD62FC62FB62FA62F962F86E801
/1_RIG2.BIN	D0036F03	D0036F03D001402B00090009060067E8
/AT00.MAP	mato	6D61746F0003CE400000000100000000
/AT01.MAP	mato	6D61746F0003F4C00000000100000000
/AT10.MAP	mato	6D61746F00031B1C0000000100000000
/AT20.MAP	mato	6D61746F0002DDCC0000000100000000
/BGM23.BGM	mato	6D61746F00069EC80000000100000000
/BGM24.BGM	mato	6D61746F0006BD400000000100000000
/BGM25.BGM	mato	6D61746F0006BFC40000000100000000
/BGM26.BGM	mato	6D61746F00069AF00000000100000000
/BGM27.BGM	mato	6D61746F00067D440000000100000000
/BGM28.BGM	mato	6D61746F0006722C0000000100000000
/BGM29.BGM	mato	6D61746F0006B4480000000100000000
/BGM30.BGM	mato	6D61746F0006BBD00000000100000000
/BGM31.BGM	mato	6D61746F00069F540000000100000000
/BGM32.BGM	mato	6D61746F0006B2D40000000100000000
/BGM33.BGM	mato	6D61746F00066A280000000100000000
/BGM34.BGM	mato	6D61746F0006A2640000000100000000
/BGM35.BGM	mato	6D61746F0006115C0000000100000000
/BGM36.BGM	mato	6D61746F0005C8600000000100000000
/BGM39.BGM	mato	6D61746F000671EC0000000100000000
/BL00.MAP	mato	6D61746F00031EC00000000100000000
/BL10.MAP	mato	6D61746F0001E5500000000100000000
/BL20.MAP	mato	6D61746F000210900000000100000000
/BL30.MAP	mato	6D61746F0001C2F80000000100000000
/BL40.MAP	mato	6D61746F000266880000000100000000
/BL50.MAP	mato	6D61746F000206940000000100000000
/BOOT.MAP	mato	6D61746F00015D580000000100000000
/BOOT1.MAP	mato	6D61746F000158600000000100000000
/BOOT2.MAP	mato	6D61746F0003D2AC0000000100000000
/BOOT3.MAP	mato	6D61746F000158400000000100000000
/BOOTSND.MAP	0000B000	0000B0000006E0001007900000003000
/BOT3.MAP	mato	6D61746F000167540000000100000000
/BOT4.MAP	mato	6D61746F000169040000000100000000
/BOT5.MAP	mato	6D61746F000167180000000100000000
/BOUGU_A.P	016000E0	016000E0910D88A8846588A888A98465
/BOUGU_B.P	016000E0	016000E088EF88EF88CD8487848984AC
/BOUGU_C.P	016000E0	016000E091D591D591F591D490E994C8
/BOUGU_D.P	016000E0	016000E094E894C894C894C894C88C85
/BUKIYA_A.P	016000E0	016000E09DB99DDB9DFE9E1FA21FA67F
/BUKIYA_B.P	016000E0	016000E088438C64886488648C649084
/BUKIYA_C.P	016000E0	016000E08C698C678845884588AC90A7
/BUKIYA_D.P	016000E0	016000E0A90AA90AA90AA90AA909A909
/CH/CH_A/CH_A_000.BCH	mato	6D61746F0000C5800000000100000000
/CH/CH_A/CH_A_030.BCH	mato	6D61746F0000F3100000000100000000
/CH/CH_A/CH_A_050.BCH	mato	6D61746F00018FE00000000100000000
/CH/CH_A/CH_A_060.BCH	mato	6D61746F0001306C0000000100000000
/CH/CH_A/CH_A_080.BCH	mato	6D61746F0001C8380000000100000000
/CH/CH_A/CH_A_130.BCH	mato	6D61746F000100440000000100000000
/CH/CH_A/CH_A_200.BCH	mato	6D61746F0000F3C80000000100000000
/CH/CH_A/CH_A_210.BCH	mato	6D61746F0000BD480000000100000000
/CH/CH_A/CH_A_260.BCH	mato	6D61746F0000D8840000000100000000
/CH/CH_A/CH_A_350.BCH	mato	6D61746F000120380000000100000000
/CH/CH_A/CH_A_400.BCH	mato	6D61746F00012EB00000000100000000
/CH/CH_A/CH_A_800.BCH	mato	6D61746F0000EFB00000000100000000
/CH/CH_B/CH_B_000.BCH	mato	6D61746F0000D4AC0000000100000000
/CH/CH_B/CH_B_030.BCH	mato	6D61746F0000EF9C0000000100000000
/CH/CH_B/CH_B_050.BCH	mato	6D61746F0001A0F40000000100000000
/CH/CH_B/CH_B_080.BCH	mato	6D61746F000205880000000100000000
/CH/CH_B/CH_B_130.BCH	mato	6D61746F0000E8AC0000000100000000
/CH/CH_B/CH_B_280.BCH	mato	6D61746F0000DA700000000100000000
/CH/CH_B/CH_B_370.BCH	mato	6D61746F0000DE200000000100000000
/CH/CH_B/CH_B_860.BCH	mato	6D61746F000191280000000100000000
/CH/CH_C/CH_C_000.BCH	mato	6D61746F0000C4540000000100000000
/CH/CH_C/CH_C_030.BCH	mato	6D61746F0000FE5C0000000100000000
/CH/CH_C/CH_C_050.BCH	mato	6D61746F0002068C0000000100000000
/CH/CH_C/CH_C_080.BCH	mato	6D61746F0001ACE00000000100000000
/CH/CH_C/CH_C_130.BCH	mato	6D61746F000105C80000000100000000
/CH/CH_C/CH_C_230.BCH	mato	6D61746F0000E6680000000100000000
/CH/CH_C/CH_C_320.BCH	mato	6D61746F0000CED00000000100000000
/CH/CH_C/CH_C_490.BCH	mato	6D61746F0000E1F80000000100000000
/CH/CH_D/CH_D_000.BCH	mato	6D61746F0000C3600000000100000000
/CH/CH_D/CH_D_050.BCH	mato	6D61746F000187280000000100000000
/CH/CH_D/CH_D_080.BCH	mato	6D61746F0001FDD80000000100000000
/CH/CH_D/CH_D_130.BCH	mato	6D61746F0000E73C0000000100000000
/CH/CH_D/CH_D_410.BCH	mato	6D61746F00020D2C0000000100000000
/CH/CH_D/CH_D_780.BCH	mato	6D61746F0000D8000000000100000000
/CH/CH_D/CH_D_880.BCH	mato	6D61746F000129800000000100000000
/CH/CH_E/CH_E_000.BCH	mato	6D61746F0000D6EC0000000100000000
/CH/CH_E/CH_E_030.BCH	mato	6D61746F0000E9300000000100000000
/CH/CH_E/CH_E_050.BCH	mato	6D61746F000189B80000000100000000
/CH/CH_E/CH_E_080.BCH	mato	6D61746F000223800000000100000000
/CH/CH_E/CH_E_130.BCH	mato	6D61746F000132100000000100000000
/CH/CH_E/CH_E_610.BCH	mato	6D61746F00012F140000000100000000
